attorney_id,full_name,bar_number,state,status,years_experience,practice_areas,firm_size,location,law_school_tier,admission_date
ATT-000001,Jessica Lopez,PA390110,PA,Active,7,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2992.45, 'year': 2024, 'source': 'Industry Survey'}]",Mid-size,"New York, PA",T14,2018-06-23
ATT-000002,Barbara Lopez,MI205236,MI,Active,7,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1845.19, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2683.86, 'year': 2024, 'source': 'Industry Survey'}]",Mid-size,"Chicago, MI",T50,2018-06-23
ATT-000003,Robert Hernandez,IL971051,IL,Active,18,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2533.58, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2683.86, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2573.03, 'year': 2024, 'source': 'Industry Survey'}]",Solo,"Los Angeles, IL",T50,2007-06-26
ATT-000004,Mary Williams,IL104564,IL,Active,24,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2533.58, 'year': 2024, 'source': 'Industry Survey'}]",Small,"New York, IL",Regional,2001-06-27
ATT-000005,Barbara Gonzalez,MI292572,MI,Active,39,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1785.2, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2606.84, 'year': 2024, 'source': 'Industry Survey'}]",Large,"New York, MI",Regional,1986-07-01
ATT-000006,Richard Rodriguez,FL352182,FL,Active,7,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2606.84, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2683.86, 'year': 2024, 'source': 'Industry Survey'}]",Solo,"Chicago, FL",Regional,2018-06-23
ATT-000007,Joseph Davis,FL617576,FL,Active,10,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1845.19, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2683.86, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1814.14, 'year': 2024, 'source': 'Industry Survey'}]",Solo,"Houston, FL",Regional,2015-06-24
ATT-000008,David Smith,IL532673,IL,Active,21,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2341.11, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2796.84, 'year': 2024, 'source': 'Industry Survey'}]",Small,"Houston, IL",T50,2004-06-26
ATT-000009,Elizabeth Anderson,NY123294,NY,Active,15,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2573.03, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2683.86, 'year': 2024, 'source': 'Industry Survey'}]",Mid-size,"Houston, NY",T14,2010-06-25
ATT-000010,James Williams,FL692381,FL,Active,33,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2606.84, 'year': 2024, 'source': 'Industry Survey'}]",Solo,"Los Angeles, FL",T50,1992-06-29
ATT-000011,Joseph Anderson,PA418496,PA,Inactive,11,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1814.14, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2683.86, 'year': 2024, 'source': 'Industry Survey'}]",Small,"New York, PA",Regional,2014-06-24
ATT-000012,Joseph Rodriguez,TX443625,TX,Active,27,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2533.58, 'year': 2024, 'source': 'Industry Survey'}]",Solo,"New York, TX",Regional,1998-06-28
ATT-000013,James Rodriguez,MI923112,MI,Active,39,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1814.14, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2341.11, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2992.45, 'year': 2024, 'source': 'Industry Survey'}]",Mid-size,"Chicago, MI",Regional,1986-07-01
ATT-000014,John Martinez,OH636662,OH,Active,4,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1785.2, 'year': 2024, 'source': 'Industry Survey'}]",Solo,"Houston, OH",T14,2021-06-22
ATT-000015,David Williams,CA388721,CA,Active,21,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2533.58, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2341.11, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2573.03, 'year': 2024, 'source': 'Industry Survey'}]",Small,"Phoenix, CA",Regional,2004-06-26
ATT-000016,Elizabeth Rodriguez,NC714997,NC,Active,2,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2992.45, 'year': 2024, 'source': 'Industry Survey'}]",Small,"Chicago, NC",Regional,2023-06-22
ATT-000017,William Anderson,NC474665,NC,Active,9,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2992.45, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1814.14, 'year': 2024, 'source': 'Industry Survey'}]",Solo,"Phoenix, NC",Regional,2016-06-23
ATT-000018,Mary Davis,NC626107,NC,Inactive,8,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2683.86, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2992.45, 'year': 2024, 'source': 'Industry Survey'}]",Small,"Houston, NC",Regional,2017-06-23
ATT-000019,Jennifer Brown,TX680333,TX,Active,9,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2533.58, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1814.14, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2606.84, 'year': 2024, 'source': 'Industry Survey'}]",Large,"Los Angeles, TX",Regional,2016-06-23
ATT-000020,Linda Anderson,TX978059,TX,Active,24,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2796.84, 'year': 2024, 'source': 'Industry Survey'}]",Solo,"Los Angeles, TX",T50,2001-06-27
ATT-000021,Mary Lopez,IL777777,IL,Active,25,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2533.58, 'year': 2024, 'source': 'Industry Survey'}]",Small,"New York, IL",Regional,2000-06-27
ATT-000022,Joseph Jones,MI894354,MI,Active,10,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2992.45, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1785.2, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2796.84, 'year': 2024, 'source': 'Industry Survey'}]",Small,"New York, MI",Regional,2015-06-24
ATT-000023,Linda Gonzalez,NY111617,NY,Inactive,13,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1785.2, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2796.84, 'year': 2024, 'source': 'Industry Survey'}]",Small,"Chicago, NY",T14,2012-06-24
ATT-000024,Elizabeth Jones,CA709230,CA,Active,36,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2573.03, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1814.14, 'year': 2024, 'source': 'Industry Survey'}]",Small,"Chicago, CA",Regional,1989-06-30
ATT-000025,Susan Johnson,TX782666,TX,Active,34,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2533.58, 'year': 2024, 'source': 'Industry Survey'}]",Solo,"Los Angeles, TX",T50,1991-06-30
ATT-000026,Elizabeth Anderson,FL690123,FL,Active,38,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2683.86, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2796.84, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2341.11, 'year': 2024, 'source': 'Industry Survey'}]",Solo,"Phoenix, FL",T50,1987-07-01
ATT-000027,Mary Johnson,PA221990,PA,Active,21,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2533.58, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2683.86, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2606.84, 'year': 2024, 'source': 'Industry Survey'}]",Mid-size,"Chicago, PA",Regional,2004-06-26
ATT-000028,Elizabeth Gonzalez,NC721960,NC,Active,36,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1785.2, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2533.58, 'year': 2024, 'source': 'Industry Survey'}]",Solo,"New York, NC",Regional,1989-06-30
ATT-000029,Susan Smith,NC949246,NC,Active,39,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1845.19, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2683.86, 'year': 2024, 'source': 'Industry Survey'}]",Small,"Phoenix, NC",T50,1986-07-01
ATT-000030,William Johnson,GA196616,GA,Active,21,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1814.14, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1785.2, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2573.03, 'year': 2024, 'source': 'Industry Survey'}]",Large,"Los Angeles, GA",Regional,2004-06-26
ATT-000031,Linda Jones,IL508802,IL,Active,12,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2341.11, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2992.45, 'year': 2024, 'source': 'Industry Survey'}]",Solo,"Phoenix, IL",Regional,2013-06-24
ATT-000032,William Jones,FL124856,FL,Active,27,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2573.03, 'year': 2024, 'source': 'Industry Survey'}]",Solo,"Chicago, FL",Regional,1998-06-28
ATT-000033,William Hernandez,NC322637,NC,Active,6,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2533.58, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2606.84, 'year': 2024, 'source': 'Industry Survey'}]",Small,"Chicago, NC",T14,2019-06-23
ATT-000034,James Davis,MI928142,MI,Active,37,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2573.03, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2796.84, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1814.14, 'year': 2024, 'source': 'Industry Survey'}]",Small,"Los Angeles, MI",Regional,1988-06-30
ATT-000035,Jennifer Johnson,NC656751,NC,Active,4,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2796.84, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1845.19, 'year': 2024, 'source': 'Industry Survey'}]",Mid-size,"Houston, NC",Regional,2021-06-22
ATT-000036,Joseph Johnson,NC876672,NC,Active,25,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1785.2, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2533.58, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2606.84, 'year': 2024, 'source': 'Industry Survey'}]",Solo,"Los Angeles, NC",Regional,2000-06-27
ATT-000037,Barbara Jones,PA430446,PA,Active,30,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2533.58, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2606.84, 'year': 2024, 'source': 'Industry Survey'}]",Small,"Houston, PA",Regional,1995-06-29
ATT-000038,Elizabeth Miller,OH677575,OH,Active,13,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2992.45, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1845.19, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1814.14, 'year': 2024, 'source': 'Industry Survey'}]",Mid-size,"Los Angeles, OH",Regional,2012-06-24
ATT-000039,David Anderson,FL100160,FL,Active,34,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2796.84, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1845.19, 'year': 2024, 'source': 'Industry Survey'}]",Small,"New York, FL",Regional,1991-06-30
ATT-000040,Joseph Davis,NC258241,NC,Active,3,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2341.11, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2796.84, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1785.2, 'year': 2024, 'source': 'Industry Survey'}]",Mid-size,"Los Angeles, NC",T14,2022-06-22
ATT-000041,Joseph Martinez,CA553269,CA,Active,6,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2573.03, 'year': 2024, 'source': 'Industry Survey'}]",Solo,"Chicago, CA",T14,2019-06-23
ATT-000042,Elizabeth Davis,CA515592,CA,Inactive,21,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1785.2, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2533.58, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2573.03, 'year': 2024, 'source': 'Industry Survey'}]",Small,"Phoenix, CA",T14,2004-06-26
ATT-000043,Michael Lopez,NY567910,NY,Active,27,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1785.2, 'year': 2024, 'source': 'Industry Survey'}]",Solo,"Phoenix, NY",Regional,1998-06-28
ATT-000044,Jessica Thomas,IL974955,IL,Active,33,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2606.84, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1785.2, 'year': 2024, 'source': 'Industry Survey'}]",Large,"Houston, IL",Regional,1992-06-29
ATT-000045,Mary Davis,CA170208,CA,Active,4,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2573.03, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1785.2, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2606.84, 'year': 2024, 'source': 'Industry Survey'}]",Mid-size,"Phoenix, CA",Regional,2021-06-22
ATT-000046,Susan Johnson,NY222182,NY,Inactive,5,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2683.86, 'year': 2024, 'source': 'Industry Survey'}]",Small,"New York, NY",Regional,2020-06-22
ATT-000047,James Rodriguez,CA819379,CA,Active,24,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2683.86, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 1845.19, 'year': 2024, 'source': 'Industry Survey'}]",Solo,"Chicago, CA",T50,2001-06-27
ATT-000048,Jennifer Miller,PA325592,PA,Active,8,"[{'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2992.45, 'year': 2024, 'source': 'Industry Survey'}, {'practice_area': 'Corporate/M&A', 'attorney_level': 'partner', 'market': 'New York', 'billing_rate': 2796.84, 'year': 2024, 'source': 'Industry Survey'}]",Small,"New York, PA",T50,2017-06-23
